,index,amazonIDs,Chroma Stft,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,ZCR,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,Genres
0,2,1906063443,0.31763062027475275,1858.8480947326505,2070.8239685203557,3804.451994999274,0.08675004232778638,-110.52758353004721,107.81921855245848,-12.992356521860001,23.560247390018233,0.10766022609148608,"Europe,Christian,Eastern Europe,Pop,Gypsy,World Music,Rock, Europe,Christian,Eastern Europe,Pop,Gypsy,World Music,Rock"
1,3,1929243766,0.4075387298984357,2430.657788203421,1993.7106885987625,4243.952115179953,0.15076829971297728,-152.04215843992566,87.87292209764826,-49.915525690808074,10.911422172573856,-15.193658720591802,"Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop"
2,4,1930864159,0.29901042108130543,1344.9616010809127,1702.9621940619086,2691.9837219427245,0.059642118566176475,-135.59351867899466,146.90328059338768,-16.374588900946325,33.878937750293716,-6.721819525833117,"Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop"
3,6,3937406328,0.34463085037584906,750.2933879791024,1203.9164339166184,1506.6575561145512,0.03148129111842105,-287.92792933858317,174.17636168763968,5.348382948892582,36.17220369668035,39.698738407042825,"Europe,World Music,Blues Rock,Rock,Pop,Dance & Electronic,Britain,Singer-Songwriters,Rock Guitarists,Album-Oriented Rock (AOR),Dance Pop,Blues,British Isles,Folk,Classic Rock"
4,7,4266950926,0.2097216133413396,950.3252066959652,1516.82265494719,1586.357074182469,0.04383269035410217,-206.83970881027142,139.27895747164294,1.349824471997346,20.984522180488643,16.71462671307909,"New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop"
5,9,5553552451,0.4138991244031146,2252.119906743545,2240.223811167228,4390.640117066563,0.12329857415828173,-41.26493479673724,96.50026724653948,-22.434494160341963,28.57739921454151,0.14191259566653347,Pop
6,10,5554329039,0.3233517450779136,2171.526862780163,2505.3221737316953,4820.937515117066,0.08981502757352941,-190.46288123975143,91.03923623171649,5.242390278208784,34.70876980522729,14.119642954062016,"World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock"
7,17,5557894675,0.3049126264489635,1268.1578454819987,1380.2107641047076,2424.427006488245,0.06526188806114551,-196.5517539178252,167.27036530853366,-40.10895877387178,28.972572708351265,-12.62847384114197,"Rock,Pop,Easy Listening, Rock,Pop,Easy Listening, Rock,Pop,Easy Listening"
8,20,5558479558,0.4502265939237344,3010.6695363619483,2603.76196530082,6060.781684615664,0.1656504722571594,33.18406927125254,61.32681076687659,-11.776976706362582,36.83065154413971,1.877239919043368,"Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock"
9,21,5558682434,0.3879076683137371,2585.1089862075664,2598.0709929656737,5501.953094078727,0.1187462757045103,-14.385787811302936,80.23745075607843,-1.8677069037628884,37.03655621854148,7.042877213002269,"Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock"
10,22,5559019615,0.3064729204833617,2024.1883691524536,2488.4626620948056,4754.400417457793,0.07930592634360488,-102.62787571049986,103.61581262644232,22.164405056026006,25.980960006992124,8.583998990905139,"Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock"
11,24,5559664235,0.4963237420259758,2645.509043438874,2318.894876300073,5039.03619630418,0.16040165038054693,27.70906524129393,75.81174131804858,-30.536374018854232,37.95874385205038,0.9953092742148102,"Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock"
12,25,6301165934,0.3960941118098533,2830.5578588461517,2656.7901141907955,5889.381054385159,0.1282025505514706,-55.247760128341504,72.14341993473175,-2.303817773242104,22.98318656486837,-2.448448266364326,"Comedic Music,Comedy & Spoken Word,Rock"
13,28,9077896058,0.419308215776949,2117.94769063099,2565.948615389745,5034.102892801858,0.08412496371904024,-25.364769325030068,96.01509024838566,9.738935318507536,28.50136236553263,7.201697783636417,"Dance & Electronic,Rock,R&B"
14,29,B0000000AY,0.4366316175506632,2133.2958056927355,2025.529240553345,4087.408617332624,0.114706789376935,-122.9183212851116,104.1997093653712,-42.49772909731008,28.303051660489572,-3.633627679759349,"New Age,Meditation,Jazz,World Music"
15,30,B0000000CE,0.4821997455649476,1774.6698607673034,1967.3582051493854,3791.143742139125,0.0802965666118421,-244.3312601864382,119.57287836924307,-27.474999999785155,50.580277247437714,4.678579653502757,"Pop,New Age,Dance & Electronic,Techno,Healing,World Music,Meditation"
